"zcta","tot_pop","white","black","alaskan_native","asian","pacific_islan","other","mixed_race"
"37779",3598,3568,0,0,9,0,1,40
"37801",27102,25879,331,31,186,0,56,1238
"37803",32016,30456,324,16,88,0,187,1890
"37804",27040,24885,713,80,426,66,61,1618
"37806",2925,2778,146,0,0,0,0,2
"37807",11397,11056,91,0,0,19,3,456
"37809",2584,2400,29,0,12,0,0,286
"37810",1981,1825,0,0,0,0,0,312
"37811",3926,3851,48,0,18,0,0,18
"37813",17946,14974,1020,56,182,104,862,1496
"37814",34359,30051,1503,109,338,164,680,3028
"37818",5328,5189,42,26,0,0,39,64
"37819",665,654,0,0,0,0,0,22
"37820",7715,7380,43,7,33,9,11,464
"37821",21657,20206,474,214,336,33,8,772
"37825",8291,8080,40,4,27,0,0,280
"37826",4930,4430,152,0,156,0,0,384
"37828",1457,1400,6,9,14,0,28,0
"37829",1731,1676,16,0,0,0,1,76
"37830",29569,23702,2274,128,907,49,518,3982
"37840",10092,9887,0,0,49,0,75,162
"37841",9966,9705,46,46,0,0,0,338
"37843",4245,4005,166,0,0,6,0,136
"37845",479,479,0,0,0,0,0,0
"37846",4002,3709,144,0,33,0,31,170
"37847",3172,3144,0,0,10,0,0,36
"37848",103,86,0,17,0,0,0,0
"37849",28109,26105,575,86,135,0,79,2258
"37851",24,24,0,0,0,0,0,0
"37852",2941,2878,0,17,0,0,0,92
"37853",3474,3148,188,11,13,0,0,228
"37854",12690,11829,132,137,214,18,15,690
"37857",20429,19771,348,2,82,0,24,404
"37860",3613,3399,0,43,0,0,82,178
"37861",8980,8711,2,33,22,0,0,424
"37862",22731,21409,188,63,289,0,182,1200
"37863",6932,6285,8,86,2,0,120,862
"37865",24638,22815,339,0,274,0,180,2060
"37866",1508,1478,0,0,0,0,0,60
"37869",4624,4525,37,0,29,0,9,48
"37870",4278,4129,0,30,0,36,0,166
"37871",8524,8161,104,0,51,0,8,400
"37872",1710,1683,0,14,0,0,0,26
"37873",4362,4241,16,0,18,0,6,162
"37874",15765,14267,713,10,157,0,109,1018
"37876",32142,30818,95,138,85,7,147,1704
"37877",8893,8537,175,0,46,0,21,228
"37878",350,304,0,12,0,0,0,68
"37879",11501,11022,127,51,103,0,0,396
