"store_name","store_id","review_count","ratings","categories","food_desert"
"MOD Pizza","lFCaK1N68t-0ztUYi9IwzA",100,4,"pizza,hotdogs",1
"MOD Pizza","xtdNnMEGJgpMxKy1hCXaVw",54,4,"hotdogs,pizza",1
"Penn Station East Coast Subs","p7JJ9fCP8QP3jN7SyOTtnQ",36,4,"tradamerican,sandwiches,hotdogs",1
"Five Guys","1TGti2jN5PstqlHelBBfNw",34,4,"burgers,hotdogs",1
"Chick-fil-A","0h4RFNScYBmtNhXAdz_UBA",69,4,"hotdogs,chickenshop",1
"Carhops","k-zdOw1KYrwEMoud1MhFSQ",61,4.5,"hotdogs",1
"Blaze Pizza","X4QbkHl7pOTVsgLa7XuUBg",230,4.5,"salad,pizza,hotdogs",1
"Whataburger","w_KhyliRlE3v4i2mIpuOCQ",27,3,"burgers,hotdogs",1
"Chick-fil-A","Asc-QZHvea5LgrwRxvokkQ",44,3.5,"hotdogs,chickenshop",1
"Southern Classic Chicken","LHNwmq6zUudB4PMWymIPYA",28,4.5,"hotdogs",1
"Happy Belly's","1gGIyavZO9SdG4L36APe7w",36,4.5,"icecream,newamerican,hotdogs",1
"Griff's Hamburgers","6E_0OtCbjxVPIigcAZHrkA",21,4.5,"burgers,hotdogs",1
"Whataburger","RH-ogIAqubqh16KyTZjY2Q",11,3,"hotdogs,burgers",1
"Golden Chick","39EzbVW1BTeUw0gbz_mIXw",15,3.5,"hotdogs",1
"Dairy Queen","yUa1bJhhykvPy45mOBtZKw",7,3,"burgers,hotdogs,icecream",1
"Dairy Queen","KA9Pkk2Bi13m2Bvuw2ueOg",9,4,"icecream,burgers,hotdogs",1
"Bent Rim Grill","mfR0uQRX-ZiNz5ZrMu9I4g",42,4.5,"hotdogs",1
"Pollo Tropical","SnQBXGKFQeZw8Bty9HeQqg",121,3,"hotdogs,latin,chickenshop",1
"Chick-fil-A","KbLzmsY8iKmZWVipxrd4Gw",112,3,"hotdogs,chickenshop",1
"Five Guys","QWr7VJrMqUgEXyGfuJ3jFQ",46,4,"burgers,hotdogs",1
"Firehouse Subs","hxd1-hKbTJJY8qwqpmfuiQ",26,3,"sandwiches,hotdogs,delis",1
"Blaze Pizza","SwMXnZYEr-nqLMr6ey464Q",236,4.5,"salad,pizza,hotdogs",1
"J Lemon Pepper Fish & Chicken","6xq92th4AVvGiT-LGiMpdA",18,3.5,"hotdogs",1
"White Castle","5JxfwBA83R79TxtCghr7CQ",14,3.5,"burgers,hotdogs",1
"MOD Pizza","rAk1qNN1P_h0Icj8iAih6g",52,4,"hotdogs,pizza",1
"Culver's","9vwIDXbI4UkpHvgStXAHkA",55,4,"burgers,hotdogs,icecream",1
"MOD Pizza","UUqtaQX8isY8uOSf9_4W3w",65,4.5,"pizza,hotdogs",1
"Burger King","FwqEL2hZhvE7Y82_5fDPoQ",8,2.5,"burgers,hotdogs",1
"McDonald's","jE_sEoHCERW4KMSyRSILvQ",9,2,"burgers,hotdogs,coffee",1
"Jimmy's Ice Cream Hilltop Farms","Qs2DOLoW7iiRb5Ds-20wiQ",6,4.5,"desserts,icecream,hotdogs",1
"Wendy's","g34O0_Zk-iEY8_-QbJG0iQ",14,3,"burgers,hotdogs",1
"Daisy Family Fast-Food Restaurant","dsp5p0iFqaaCk3ORlFAF_A",25,4,"icecream,hotdogs",1
"Mr. Gyros Greek Food & Pastry","OV3hmzvxKue4SS3yvgQtEA",54,4,"greek,hotdogs",1
"Chick-fil-A","jok-e5Rd7o8bvbv1p7vKUw",78,3.5,"hotdogs,chickenshop",1
"Culver's","vfQ9kAoQmfXG_ET5WvE8Ng",67,3.5,"burgers,icecream,hotdogs",1
"Shake Shack","XvqLxfvTGCrvRfLwaWVWpg",197,3.5,"burgers,hotdogs,hotdog",1
"Go-Chicken-Go","Y8hl9weM3eqLr6jeBWLBgA",111,4,"chicken_wings,hotdogs,tradamerican",1
"McDonald's","2q45LnlAjUKJj2nfV7W0pg",8,2,"burgers,hotdogs,coffee",1
"Church's Chicken","VAdo9Lpu4BQfdIXaM8qC9Q",1,4,"hotdogs,chicken_wings",1
"Sonic Drive-In","jfdY0U2Lu0lRw_TV_Agxnw",4,3,"hotdogs,burgers,icecream",1
"Krystal","OO0VZhJcCzrxigPc5L2igA",4,4,"burgers,hotdogs",1
"Captain D's","1_-O61Qr1s8N7IUXgIM09A",6,4,"seafood,hotdogs,tradamerican",1
"Roy Rogers","SoooyQPgOBOt-TQ7RN_ppw",20,4,"burgers,hotdogs,sandwiches",1
"Five Guys","jW3beun-F_iGkd1yPD6ySQ",35,3.5,"hotdogs,burgers",1
"Bubbakoo's Burritos","aUA5aTmGuM3YQaWbnyZE1Q",55,3.5,"mexican,tex-mex,hotdogs",1
"Chick-fil-A","BjmlyQAn-Vm9_0lOkXbm7w",77,4,"hotdogs,chickenshop",1
"White Castle","ozMlNsVoBBLQ4X3yGpTEZA",52,4,"hotdogs,burgers",1
"Five Guys","tj3LUIbU-eVPz8-EFZThBA",53,3.5,"burgers,hotdogs",1
