"store_name","store_id","review_count","ratings","categories","food_desert"
"ALDI","6L8vFMZD7Eri-gtOGqHKig",17,4.5,"grocery,markets,organic_stores",1
"ALDI","zlT2ySgtmLPJPN8lBvmm0w",40,4,"grocery,markets,organic_stores",1
"Mr Food Mart","tnlFkWJHBx3hsSFP8_pPuw",9,4.5,"pizza,sandwiches,grocery",1
"Lidl","bpYeTbPrE_hFmJB9N4xS6w",83,3.5,"grocery,shopping",1
"Pendulum Fine Meats","yK-9F_cQKW2zK74FR5VdRw",128,5,"butcher,grocery,beer_and_wine",1
"Tony's Fresh Market","SsVpqJqr-muTaEL0eQWiDA",122,3.5,"grocery",1
"La Chaparrita Grocery","5wK7KlP2Mb-WbHmNqtSQSg",121,4.5,"grocery,tacos",1
"Puerto Rico Food & Liquors","hIxc7QL0OPYkB6IiJaa5tw",102,5,"grocery,beer_and_wine,markets",1
"Trader Joe's","3TsaAt75MytfXUWy8MoFMA",115,4.5,"grocery",1
"Trader Joe's","FxlekC-P_HTEvBs6dSIkVQ",160,4.5,"grocery",1
"Kroger","rrjnXF0Ai7kOTIArORh7TQ",11,3.5,"grocery",1
"ALDI","IbnSUVzEmrL-oKgKZXn85g",5,5,"grocery,markets,organic_stores",1
"Publix","seWLsOP4t2CKb6aDPx_0Iw",8,4.5,"grocery",1
"Asian Supermarket","A6DYUnX3WLHCopQ8llUI_A",22,4,"grocery",1
"Kroger","1-Z2EjSsK-1tQ9k_En8lxQ",11,3.5,"grocery",1
"Spiceland Indian Groceries","1Ny60eW9SQF0lWr4aO8DVA",4,4.5,"grocery,importedfood",1
"Halal International","E32m033jDyA0EKTJMhtZxw",15,4.5,"grocery,halal",1
"El Mariachi","lbyDYr09WXO3pXIDS4pALw",23,3,"grocery,mexican,salvadoran",1
"Rosewood Market ","ewCCWAWoy5mJB5Pa2E-mDA",66,4,"healthmarkets,delis,grocery",1
"Publix Super Market","IBbQj360PF4byYUjab-dmQ",55,4.5,"grocery",1
"Food Lion","Xz5mR7cRJdwcBj1lqo1nAg",3,1,"grocery",1
"ALDI","1tSKktoW5QdTtr-hh0-3QQ",2,2.5,"grocery,markets,organic_stores",1
"Marathon Super C Store","797R9OrAynOjW4KsxZ8RqA",1,2,"grocery,convenience",1
"Food Lion","jgf5KmVzvln8AivFroYvhA",3,2.5,"grocery",1
"Lowes Foods","n8fZl4LZSGeUKTKUD2yPPg",8,4,"grocery,beer_and_wine,chicken_wings",1
"Azar Supermarket","vzTp7vg-UEyiEehuW-rF9w",38,3.5,"grocery",1
"Karl Ehmer Meats","WSrLrn4D7DoiOauiI4T7jA",15,5,"grocery,meats,german",1
"Valley Farm Market","jyN37wx69NNctZV3sLJqCA",48,4,"markets,grocery",1
"Saylor's & Co Fine Meats & Italian Specialties","3UFf27FyHEP1DhQkhv0l9g",19,4.5,"meats,grocery",1
