"","Year","LocationName","Geolocation","TotalPopulation","OBESITY","DEPRESSION","CANCER","CHOLSCREEN","CHD"
"111",2019,2718,"POINT (-71.014768 41.8669961)",6655,30.8,23.7,6.6,89.6,4.8
"112",2019,1721,"POINT (-71.46865418 42.25725541)",16593,22.8,19.3,7,92.8,4.5
"113",2019,1913,"POINT (-70.94460004 42.85294155)",16283,25.1,20.4,7.3,91.3,5.2
"114",2019,1376,"POINT (-72.55573073 42.59539224)",5247,29.9,23.8,8.2,89.3,7
"115",2019,2360,"POINT (-70.58250895 41.86541262)",56271,26.5,19.7,7.6,91.2,5.5
"116",2019,2124,"POINT (-71.07137829 42.28596194)",47783,29.5,18.3,5.4,89.2,5.4
"117",2019,2780,"POINT (-71.11956563 41.90753045)",49036,33.1,24.1,7.5,88.8,6.6
"118",2019,2118,"POINT (-71.07068615 42.3381858)",26498,23.6,18.5,4.5,86.6,4.5
"119",2019,2912,"POINT (-71.40223891 41.82559259)",1370,18.1,24.6,0.7,75.5,0.7
"120",2019,1605,"POINT (-71.77654375 42.28874287)",26221,35.7,21.1,6.6,87.3,6.4
"121",2019,2460,"POINT (-71.202411 42.34638646)",8742,21.4,18.2,7.8,93.7,4.7
"122",2019,1257,"POINT (-73.36886574 42.09702662)",2121,25.6,20.2,9.4,92.7,7.5
"123",2019,2366,"POINT (-70.65723794 41.85085524)",197,29.5,13.4,2.7,86.1,2.5
"124",2019,2878,"POINT (-71.17371525 41.60907223)",15780,28.8,22,9.1,92.8,6.2
"125",2019,1337,"POINT (-72.57719357 42.69520348)",2596,28.6,22.6,8.5,92.1,6.3
"126",2019,2494,"POINT (-71.23206876 42.29965205)",8955,20.6,17.5,8.3,93.9,5.1
"127",2019,1833,"POINT (-70.98210545 42.72400329)",8183,24.2,19.4,7.4,92.9,4.8
"128",2019,1463,"POINT (-71.60425552 42.67121553)",11497,24.3,21.4,7.2,92.1,4.8
"129",2019,1568,"POINT (-71.60466882 42.17700634)",7480,28.9,19.9,7.4,93.5,4.4
"130",2019,1010,"POINT (-72.20619647 42.12859057)",3609,27.4,22.9,7.9,92.2,6
"131",2019,2144,"POINT (-71.119268 42.39693116)",23891,20.7,20.7,4.9,88.2,3.2
"132",2019,2347,"POINT (-70.95908821 41.83127504)",10612,26.2,19.7,7.6,92.1,5.3
"133",2019,1826,"POINT (-71.27327675 42.6876612)",29422,24.9,21.6,7.3,90.8,5.4
"134",2019,2532,"POINT (-70.59680043 41.76521717)",12690,24.2,20.4,8.1,90.2,6
"135",2019,2827,"POINT (-71.73957657 41.69773068)",2172,30.3,24.6,7.1,91.5,5.4
"136",2019,1083,"POINT (-72.19532605 42.20371271)",2888,32.6,22.5,7.2,89.8,6
"137",2019,2542,"POINT (-70.54684245 41.7025807)",1139,24.3,20.5,2.6,82,2.2
"138",2019,2842,"POINT (-71.27672325 41.51738869)",16095,28.5,21,8.7,92.7,5.9
"139",2019,1346,"POINT (-72.81749061 42.68891179)",533,30.1,22.9,8.9,92.5,7.4
"140",2019,1944,"POINT (-70.76915854 42.58253158)",5136,22.8,17.7,9.3,94.9,5.7
