"zcta","year","population","aland10","count_sales_445110","popden_sales_445110","aden_sales_445110"
1773,2017,4791,13.62093,1,0.2087247,0.0734164
1775,2017,7061,17.32276,2,0.283246,0.115455
1776,2017,18697,24.23938,4,0.2139381,0.1650207
1778,2017,13850,15.20645,5,0.3610108,0.3288079
1801,2017,40375,12.66706,20,0.4953561,1.578898
1803,2017,26103,11.7092,18,0.6895759,1.537253
1810,2017,35375,30.82771,5,0.1413428,0.1621918
1821,2017,32348,16.56656,3,0.0927414,0.1810877
1824,2017,25961,17.76142,10,0.3851932,0.563018
1826,2017,30948,20.66839,5,0.1615613,0.2419153
1827,2017,3337,16.45635,0,0,0
1830,2017,26524,13.82416,8,0.3016137,0.5786971
1832,2017,23372,11.40006,8,0.3422899,0.7017508
1833,2017,8569,12.85917,4,0.4667989,0.3110622
1834,2017,6697,8.881694,1,0.1493206,0.1125911
1835,2017,13047,7.811253,1,0.076646,0.1280204
1840,2017,5248,0.498217,5,0.9527439,10.03579
1841,2017,48295,3.08827,65,1.345895,21.04738
1843,2017,25942,3.373385,21,0.8094981,6.2252
1844,2017,49587,22.21221,16,0.3226652,0.7203246
1845,2017,30170,26.2835,7,0.2320186,0.2663268
1850,2017,16890,1.359637,9,0.5328597,6.619415
1851,2017,29849,3.344584,14,0.4690274,4.185871
1852,2017,34756,4.96998,17,0.4891241,3.420537
1854,2017,29561,3.934274,13,0.4397686,3.304295
1860,2017,6752,8.49513,2,0.2962085,0.235429
1862,2017,10676,9.240232,2,0.1873361,0.2164448
1863,2017,9106,4.620233,1,0.1098177,0.2164393
1864,2017,15598,13.16102,6,0.3846647,0.4558918
1867,2017,24894,9.955479,14,0.5623845,1.406261
1876,2017,30433,20.46594,7,0.2300135,0.3420317
1879,2017,12305,16.80096,3,0.2438033,0.1785612
1880,2017,26450,6.911804,6,0.2268431,0.8680802
1886,2017,24087,30.24394,4,0.1660647,0.1322579
1887,2017,23538,16.98372,8,0.339876,0.4710392
1890,2017,22579,6.032427,7,0.3100226,1.160395
1901,2017,1878,0.2476143,9,4.792332,36.34686
1902,2017,48218,2.403083,31,0.6429135,12.90009
1904,2017,17320,4.523104,6,0.3464203,1.326523
1905,2017,25590,3.557981,21,0.8206331,5.902225
1906,2017,28037,10.79788,7,0.2496701,0.6482756
1907,2017,14758,3.034916,3,0.2032796,0.9884952
1908,2017,3488,1.075799,0,0,0
1913,2017,17218,12.29211,4,0.232315,0.325412
1915,2017,41431,15.08966,18,0.4344573,1.19287
1921,2017,8228,23.55142,1,0.1215362,0.0424603
1922,2017,2812,9.592738,2,0.7112375,0.208491
1923,2017,27391,13.2054,11,0.4015918,0.8329926
1929,2017,3687,13.96189,3,0.8136696,0.2148707
1930,2017,29858,26.19782,17,0.5693617,0.648909
1937,2017,136,0.0730552,0,0,0
1938,2017,13810,30.4266,4,0.2896452,0.1314639
1940,2017,13425,10.54479,9,0.6703911,0.8535023
1944,2017,5327,9.229446,2,0.3754458,0.2166977
1945,2017,20393,4.38944,9,0.4413279,2.050375
1949,2017,9656,13.44698,5,0.5178127,0.3718306
1950,2017,17890,8.350046,9,0.5030743,1.077838
1951,2017,4152,13.77973,0,0,0
1952,2017,9035,15.37781,1,0.1106807,0.0650288
1960,2017,52313,16.01023,14,0.2676199,0.8744411
1966,2017,7184,6.987686,2,0.2783965,0.2862178
1969,2017,6232,17.48759,2,0.3209243,0.1143668
1970,2017,42991,8.111627,30,0.6978204,3.698395
1982,2017,7991,14.17772,1,0.1251408,0.0705332
1983,2017,6496,11.90855,3,0.4618227,0.2519198
1984,2017,5179,7.65869,0,0,0
1985,2017,4545,13.44724,0,0,0
2019,2017,16929,18.3439,8,0.4725619,0.4361123
2021,2017,22829,18.78842,12,0.5256472,0.6386914
2025,2017,8393,9.786252,4,0.4765876,0.4087367
2026,2017,25362,10.2462,12,0.4731488,1.171166
2030,2017,5922,15.09688,3,0.5065857,0.1987166
2032,2017,4410,2.338237,0,0,0
2035,2017,17448,19.85571,6,0.343879,0.3021801
2038,2017,32843,26.63964,11,0.3349268,0.4129185
2043,2017,23047,22.18,8,0.3471168,0.3606852
2045,2017,10402,2.671325,3,0.2884061,1.123038
2047,2017,65,0.2391293,0,0,0
2048,2017,23678,20.104,9,0.3800997,0.4476722
2050,2017,26032,29.10091,7,0.2688998,0.2405423
2052,2017,12610,14.40901,6,0.4758129,0.4164062
2053,2017,13162,11.53625,3,0.2279289,0.2600499
2054,2017,8144,12.03283,3,0.3683694,0.249318
2056,2017,11388,14.86258,1,0.0878117,0.0672831
2061,2017,10897,20.94457,3,0.2753051,0.1432352
2062,2017,29121,10.35775,20,0.6867896,1.93092
2066,2017,18042,16.49511,8,0.4434098,0.4849923
2067,2017,18148,22.67627,7,0.3857174,0.3086928
2071,2017,1572,0.9704292,1,0.6361323,1.030472
2072,2017,28338,16.08832,14,0.4940363,0.8701968
2081,2017,19358,17.92469,4,0.2066329,0.2231559
2090,2017,15612,10.89641,9,0.5764797,0.8259598
2093,2017,11597,21.7065,1,0.0862292,0.0460691
2108,2017,4211,0.1364323,6,1.42484,43.97786
2109,2017,4051,0.1732981,6,1.481116,34.62243
2110,2017,2270,0.1811792,13,5.726872,71.75216
2111,2017,7452,0.270358,21,2.818035,77.67479
2113,2017,7464,0.1002924,6,0.8038585,59.8251
2114,2017,13247,0.4487986,7,0.5284215,15.5972
2115,2017,29244,0.7078658,12,0.4103406,16.95237
2116,2017,23215,0.6305222,7,0.3015292,11.10191
2118,2017,27325,1.096408,22,0.8051235,20.06551
