zcta,mean_income
53045,152039
60025,152024
98116,151980
89135,151970
95864,151969
8889,151935
90048,151911
8810,151887
11764,151849
7932,151840
91784,151773
80124,151756
21673,151739
7405,151725
8536,151724
5254,151697
91208,151692
6068,151677
94505,151675
7921,151661
10920,151653
4107,151652
1760,151642
7703,151596.225
68669,151564
85083,151551
5055,151538
8036,151497
60068,151365
15784,151357
10516,151301
95119,151296
90069,151285
53044,151282
45244,151248
46278,151217
2114,151154
28646,151150
10589,151135
8061,151096
4855,151042
55020,150970
91326,150946
77027,150918
31025,150879
85263,150870
92835,150845
1718,150731
12514,150712
20119,150677
10044,150655
16046,150653
95004,150634
11794,150589.9342
98014,150458
1887,150413
93604,150405
60201,150365
55123,150349
12575,150259
2647,150222
20868,150177
22043,150177
6410,150167
95066,150159
20607,150116
21108,150114
29928,150107
20723,150024
94596,150006
8822,149988
8816,149977
7927,149852
7950,149739
80403,149729
8501,149685
94720,149666.7778
40927,149652
28480,149648
10960,149622
20181,149574
94121,149569
2446,149530
94945,149509
6812,149471
80210,149452
34201,149449
94560,149431
11740,149328
20613,149253
94610,149245
22716,149220
2081,149206
95065,149192
6069,149190
97486,149170
90293,149151
6078,149121
60192,149096
20623,149071
22743,149021
20001,148984
28668,148937
48380,148913
19118,148898
66218,148860
92620,148852
96161,148847
66226,148829
5445,148823
40510,148813
92692,148778
37204,148770
93021,148757
94551,148746
2818,148712
1803,148658
77046,148606
21401,148605
3840,148596
6231,148592
94109,148588
6804,148560
61011,148558
32081,148539
33477,148509
60134,148434
94901,148419
95126,148402
64164,148381
11563,148367
8043,148353
21048,148344
98119,148337
7630,148307
2140,148295
10524,148292
22714,148277
60661,148266
6825,148198
91739,148191
10595,148181
80230,148177
39110,148163
94542,148157
22310,148156
19335,148108
37046,148108
47708,148018
3057,148017
33067,148001
91914,147979
2650,147976
92064,147969
99338,147956
26810,147937
93463,147915
80202,147834
1756,147815
94044,147807
22031,147800
92705,147735
20688,147731
13104,147718
10591,147702
2047,147669
8802,147658
38017,147642
6468,147619
52338,147601
58381,147597
95046,147573
11758,147558
3304,147526
21769,147483
75054,147473
91001,147447
20692,147422
80924,147419
10968,147394
55372,147389
10162,147342
98136,147330
98020,147323
27709,147310
1867,147301
94903,147301
18435,147273
7082,147269
68324,147254
94512,147242.1646
94573,147242.1646
94575,147242.1646
